,Restaurant name,Restaurant URL
36,Anh Dao Restaurant,https://www.google.ca/maps/place/Anh+Dao+Restaurant/data=!4m5!3m4!1s0x882b34c16e8dc087:0xd55cde4b20ebdda!8m2!3d43.6563042!4d-79.3991053?authuser=0&hl=en&rclk=1
37,Fusaro's Italian Kitchen,https://www.google.ca/maps/place/Fusaro's+Italian+Kitchen/data=!4m5!3m4!1s0x882b34db9f9b5b1b:0x9bd745b2161f5026!8m2!3d43.6482062!4d-79.3958624?authuser=0&hl=en&rclk=1
38,LEKKER - Pure Belgian Bites -,https://www.google.ca/maps/place/LEKKER+-+Pure+Belgian+Bites+-/data=!4m5!3m4!1s0x882b34c212c91b0f:0x82f236690447acf6!8m2!3d43.6546661!4d-79.4019103?authuser=0&hl=en&rclk=1
39,Fresca Pizza and Pasta,https://www.google.ca/maps/place/Fresca+Pizza+and+Pasta/data=!4m5!3m4!1s0x882b34c1c936eb4d:0x7b7ce3dd6b266766!8m2!3d43.6578177!4d-79.4017248?authuser=0&hl=en&rclk=1
40,Rol San Restaurant,https://www.google.ca/maps/place/Rol+San+Restaurant/data=!4m5!3m4!1s0x882b34c3eba696ef:0x2c3ccc65e4c404cb!8m2!3d43.6544583!4d-79.3980833?authuser=0&hl=en&rclk=1
41,Rol Jui Seafood Restaurant,https://www.google.ca/maps/place/Rol+Jui+Seafood+Restaurant/data=!4m5!3m4!1s0x882b34c47bc55449:0x5c554b0a0e0ce432!8m2!3d43.6533099!4d-79.3968368?authuser=0&hl=en&rclk=1
42,New Hong Fatt BBQ,https://www.google.ca/maps/place/New+Hong+Fatt+BBQ/data=!4m5!3m4!1s0x882b34c467ac1b25:0x9bd420bb2dd8ee03!8m2!3d43.6532251!4d-79.3959384?authuser=0&hl=en&rclk=1
43,Valens Restaurants Inc,https://www.google.ca/maps/place/Valens+Restaurants+Inc/data=!4m5!3m4!1s0x882b34c6154277f3:0x8a85f6d1b0b738e3!8m2!3d43.6560132!4d-79.3929184?authuser=0&hl=en&rclk=1
44,Manpuku Japanese Eatery,https://www.google.ca/maps/place/Manpuku+Japanese+Eatery/data=!4m5!3m4!1s0x882b34cf5d1b0781:0x319444dc3543ad7c!8m2!3d43.653698!4d-79.390967?authuser=0&hl=en&rclk=1
45,Chine Legendary Hot Pot & Noodles,https://www.google.ca/maps/place/Chine+Legendary+Hot+Pot+%26+Noodles/data=!4m5!3m4!1s0x882b34c3e9607347:0x3f5d9ac9a0e13158!8m2!3d43.654537!4d-79.39838?authuser=0&hl=en&rclk=1
